species,cat_island,variation,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,wsc,bin_island,centroid_lon,centroid_lat,eco_reg_points,eco_reg_polygon,temp_zones_points,temp_zones_polygon,bole_female,bole_male,source
Anelosimus_guacamayos,continent,no,no,Ecuador,16,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Anelosimus_jabaquara,continent,yes,yes,Brazil,8,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Anelosimus_jucundus,continent,no,no,"Mexico, Central America and South America",294,1,0,20315045.4,0,84.04525912,continent,"mexico,central america,south america",0,-84.25,10.333333,1,1,1,1,4.36,3.25,"Agnarsson, I. (2006b). A revision of the New World eximius lineage of Anelosimus (Araneae, Theridiidae) and a phylogenetic analysis using worldwide exemplars. Zoological Journal of the Linnean Society 146(4): 453-593"
Anelosimus_kohi,island,yes,yes,Malaysia,7,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Anelosimus_linda,island,no,no,Malaysia,1,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Anelosimus_may,island,no,no,Madagascar,15,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Anelosimus_nigrescens,continent,yes,yes,Guyana,6,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Anelosimus_nr,NA,NA,NA,NA,1,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Anelosimus_octavius,continent,no,no,"Mexico, central america",9,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Anelosimus_oritoyacu,continent,no,no,"Mexico, central america, Ecuador, Colombia",4,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Anelosimus_pacificus,continent,no,no,Mexico to Costa Rica,8,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Anelosimus_pomio,island,no,no,Papua New Guinea,1,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Anelosimus_potmosbi,island,no,no,New Guinea,2,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Anelosimus_pratchetti,continent,no,no,Australia,8,4,10072.97161,7691990.893,9.486129,39.01717104,continent,australia,0,151.623008,-31.26975453,1,2,1,2,3.4,2.95,"Agnarsson, I. (2012b). Systematics of new subsocial and solitary Australasian Anelosimus species (Araneae: Theridiidae). Invertebrate Systematics 26(1): 1-16"
Anelosimus_rupununi,continent,yes,yes,"Trinidad, surinam, french guayana, guayana, Brazil",21,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Anelosimus_sp,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Anelosimus_studiosus,island_continent,no,no,"north america, central america, south america",373,33,8557145.754,39715123.3,73.894168,109.6740354,island_continent,"north america,central america,south america",1,-71.59235234,0.270428837,18,115,5,15,4.4,2.65,"Agnarsson, I. (2006b). A revision of the New World eximius lineage of Anelosimus (Araneae, Theridiidae) and a phylogenetic analysis using worldwide exemplars. Zoological Journal of the Linnean Society 146(4): 453-593"
Anelosimus_tosus,continent,no,no,"Mexico, central america, Colombia, Ecuador, Peru",10,3,50619.30729,5155360.169,12.611726,33.0945463,continent,"mexico,central america,colombia,ecuador,peru",0,-76.94444816,1.193222509,3,11,2,8,5.2,3.58,"Agnarsson, I. (2006b). A revision of the New World eximius lineage of Anelosimus (Araneae, Theridiidae) and a phylogenetic analysis using worldwide exemplars. Zoological Journal of the Linnean Society 146(4): 453-593."
Anepsion_sp,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Arachnura_feredayi,island,yes,yes,New Zealand,0,94,227196.6085,267758.5077,-10.655875,0,island,New Zealand,1,172.6537943,-42.10192029,8,10,1,7,14.4,2.3,"Castanheira, P. de S., Didham, R. K., Vink, C. J. & Framenau, V. W. (2019c). The scorpion-tailed orb-weaving spiders (Araneae, Araneidae, Arachnura) in Australia and New Zealand. Zootaxa 4706(1): 147-170"
Arachnura_higginsi,island_continent,yes,yes,Australia,627,274,2472932.531,7691990.893,14.804806,39.01717104,island_continent,australia,1,140.3113933,-31.86213193,8,22,6,11,24.1,3.6,"Castanheira, P. de S., Didham, R. K., Vink, C. J. & Framenau, V. W. (2019c). The scorpion-tailed orb-weaving spiders (Araneae, Araneidae, Arachnura) in Australia and New Zealand. Zootaxa 4706(1): 147-170"
Arachnura_scorpionoides,island_continent,yes,yes,"Ethiopia, Congo, South Africa, Seychelles, Mayotte, Madagascar, Mauritius, Réunion",51,10,83540.4872,5267713.592,4.503727,37.63218552,continent,"ethiopia,congo,south africa,seychelles,mayotte,madagascar,mauritius,rü¾Ž–”¼union",1,23.72712297,-32.81419108,3,10,3,10,10,NA,"Dippenaar-Schoeman, A. S., Haddad, C. R. & Foord, S. H. (2020). First records for the orb-web spider Arachnura scorpionoides Vinson, 1863 from South Africa (Araneae: Araneidae). Sansa News 34: 12-14"
Araneus_albotriangulus,island_continent,yes,no,Australia,313,192,1374789.76,7691990.893,26.444649,39.01717104,island_continent,australia,1,148.2466345,-29.05691737,5,13,3,17,4.9,NA,"Keyserling, E. (1887a). Die Arachniden Australiens, nach der Natur beschrieben und abgebildet. Zweiter Theil [Lieferung 35-36]. Bauer & Raspe, Nürnberg, 153-232, pl. 12-20."
Araneus_bicentenarius,island_continent,yes,no,"USA, Canada",1172,713,5664747.753,19400077.9,22.721599,52.05850925,island_continent,"usa,canada",1,-88.80750307,40.2686566,31,44,5,11,28,7,"Levi, H. W. (1971a). The diadematus group of the orb-weaver genus Araneus north of Mexico (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 141: 131-179."
Araneus_cavaticus,continent,no,no,"USA, Canada",240,113,658514.823,19400077.9,12.818232,52.05850925,continent,"usa,canada",0,-75.45173291,43.19248842,6,10,3,4,22,19,"Levi, H. W. (1971a). The diadematus group of the orb-weaver genus Araneus north of Mexico (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 141: 131-179."
Araneus_diadematus,island_continent,yes,yes,"Europe, Turkey, Caucasus, Russia, Iran, Central Asia, China, Japan. ",54895,6388,25771828.32,66616628.78,42.38883,68.87868535,island_continent,"Europe, Turkey, Caucasus, Russia, Iran, Central Asia, China, Japan. ",1,61.1802608,62.71040721,105,250,18,11,20,13,"Levi, H. W. (1971a). The diadematus group of the orb-weaver genus Araneus north of Mexico (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 141: 131-179."
Araneus_eburneiventris,continent,no,no,Australia,85,17,70141.09725,7691990.893,8.827422,39.01717104,continent,australia,0,115.9627925,-31.22583006,3,4,4,5,6,NA,"Simon, E. (1908d). Araneae. 1re partie. In: Michaelsen, W. & Hartmeyer, R. (eds.) Die Fauna Südwest-Australiens. Ergebnisse der Hamburger südwest-australischen Forschungsreise 1905. Band 1, Lieferung 12. Gustav Fischer, Jena, pp. 359-446."
Araneus_gemmoides,continent,no,no,"USA, Canada",977,334,5690421.751,19400077.9,26.447941,52.05850925,continent,"usa,canada",0,-108.2498205,43.71478535,37,52,12,18,25,7.9,"Levi, H. W. (1971a). The diadematus group of the orb-weaver genus Araneus north of Mexico (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 141: 131-179."
