species,cat_island,variation,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,wsc,bin_island,centroid_lon,centroid_lat,eco_reg_points,eco_reg_polygon,temp_zones_points,temp_zones_polygon,bole_female,bole_male,source
Cryptaranea_subcompta,island,yes,yes,New Zealand,24,4,5068.282316,267758.5077,5.650862,0,island,new zealand,1,173.2735447,-42.9647349,3,5,1,6,8.2,,"Urquhart, A. T. (1894). Description of new species of Araneae. Transactions and Proceedings of the New Zealand Institute 26(1893): 204-218."
Cyclosa_argenteoalba,island_continent,yes,yes,"China, Korea, Taiwan, Japan, Russia",204,10,606451.6863,26959923.57,15.667523,39.52467199,continent,"china,korea,taiwan,japan,russia",1,116.6453192,30.47502266,3,5,3,7,3.2,3.55,"Tanikawa, A. (1992b). A revisional study of the Japanese spiders of the genus Cyclosa (Araneae: Araneidae). Acta Arachnologica 41(1): 11-85."
Cyclosa_caroli,island_continent,no,no,"USA, Caribbean, South America",359,21,1006144.15,29777772.94,17.857143,98.68615651,island_continent,"usa,caribbean,south america",1,-85.8147002,31.95229534,10,19,2,6,6.8,3.4,"Levi, H. W. (1977a). The American orb-weaver genera Cyclosa, Metazygia and Eustala north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 148: 61-127"
Cyclosa_confusa,island_continent,yes,yes,"China, Korea, Taiwan, Japan",103,10,3349.650438,10002377.84,1.928332,18.0352402,island_continent,"china,korea,taiwan,japan",1,115.4310061,22.7676582,2,2,1,2,8,4.5,"Tanikawa, A. (2009). Hersiliidae. Nephilidae, Tetragnathidae, Araneidae. In: Ono, H. (ed.) The spiders of Japan with keys to the families and genera and illustrations of the species. Tokai University Press, Kanagawa, pp. 149, 403-463"
Cyclosa_conica,island_continent,no,no,"North America, Europe, Turkey, Caucasus, Russia, Europe, Iran, Central Asia, China",6244,3398,27325847.05,63108399.91,34.901224,68.87868535,island_continent,"north america,europe,turkey,caucasus,russia,iran,central asia,china",1,51.35463883,55.4961071,80,156,13,6,8,4.5,https://araneae.nmbe.ch/data/378/Cyclosa_conica
Cyclosa_insulana,island_continent,yes,yes,"Europe, Southeast Asia, Japan, India,Papua New Guinea, Australia, South Africa, Eswatini",0,216,43464583.79,39877403.78,76.99349,103.7686427,island_continent,"Europe, Southeast Asia, Japan, India,Papua New Guinea, Australia, South Africa, Eswatini",1,33.69547439,14.30327016,35,238,13,22,6.8,NA,https://araneae.nmbe.ch/data/3876/Cyclosa_insulana
Cyclosa_monticola,island_continent,yes,yes,"China, Korea, Taiwan, Japan, Russia",53,2,0,26959923.57,5.697525,39.52467199,continent,"china,korea,taiwan,japan,russia",1,120.6452675,33.4308883,2,3,2,2,9,6,"Tanikawa, A. (2009). Hersiliidae. Nephilidae, Tetragnathidae, Araneidae. In: Ono, H. (ed.) The spiders of Japan with keys to the families and genera and illustrations of the species. Tokai University Press, Kanagawa, pp. 149, 403-463"
Cyclosa_octotuberculata,island_continent,yes,yes,"China, Korea, Taiwan, Japan",272,26,298458.6638,10002377.84,11.174646,18.0352402,island_continent,"china,korea,taiwan,japan",1,138.5104475,36.7340861,4,10,3,10,15,10,"Tanikawa, A. (2009). Hersiliidae. Nephilidae, Tetragnathidae, Araneidae. In: Ono, H. (ed.) The spiders of Japan with keys to the families and genera and illustrations of the species. Tokai University Press, Kanagawa, pp. 149, 403-463"
Cyclosa_walckenaeri,island_continent,no,no,"USA, Central America, Colombia, Venezuela, Guyana, Ecuador, Caribbean",136,59,1068691.916,14678339.66,13.945384,48.39974368,island_continent,"usa,central america,colombia,venezuela,guyana,ecuador,caribbean",1,-100.0085143,20.6625296,8,45,8,16,6.8,3.8,"Levi, H. W. (1977a). The American orb-weaver genera Cyclosa, Metazygia and Eustala north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 148: 61-127"
Cyrtarachne_bufo,island_continent,no,no,"China, Korea, Japan",115,11,72189.05495,9966171.268,13.196475,18.0352402,island_continent,"china,korea,japan",1,133.0270512,33.5155467,2,5,2,7,10,2.5,"Tanikawa, A. (2009). Hersiliidae. Nephilidae, Tetragnathidae, Araneidae. In: Ono, H. (ed.) The spiders of Japan with keys to the families and genera and illustrations of the species. Tokai University Press, Kanagawa, pp. 149, 403-463"
Cyrtarachne_inaequalis,island_continent,no,no,"India, China, Korea, Myanmar",198,17,3239285.395,13409569.5,28.003031,18.95647776,continent,"india,china,korea,myanmar",0,103.8390865,25.02455756,4,36,4,11,13,2.5,"Tanikawa, A. (2009). Hersiliidae. Nephilidae, Tetragnathidae, Araneidae. In: Ono, H. (ed.) The spiders of Japan with keys to the families and genera and illustrations of the species. Tokai University Press, Kanagawa, pp. 149, 403-463"
Cyrtarachne_nagasakiensis,island_continent,yes,yes,"Pakistan, India, China, Korea, Japan",75,1,0,13991960.2,0,18.0352402,island,"pakistan,india,china,korea,japan",1,137.011506,35.078181,1,1,1,1,8,2,"Tanikawa, A. (2009). Hersiliidae. Nephilidae, Tetragnathidae, Araneidae. In: Ono, H. (ed.) The spiders of Japan with keys to the families and genera and illustrations of the species. Tokai University Press, Kanagawa, pp. 149, 403-463"
Cyrtarachne_yunoharuensis,island_continent,yes,yes,"China, Korea, Japan",65,1,0,9966171.268,0,18.0352402,continent,"china,korea,japan",0,119.335053,26.169828,1,1,1,1,7,2,"Tanikawa, A. (2009). Hersiliidae. Nephilidae, Tetragnathidae, Araneidae. In: Ono, H. (ed.) The spiders of Japan with keys to the families and genera and illustrations of the species. Tokai University Press, Kanagawa, pp. 149, 403-463"
Cyrtophora_cylindroides,island_continent,NA,NA,"China, Southeast Asia, Australia",115,11,890989.5395,21501879.15,16.576858,62.19191331,island_continent,"china,southeast asia,australia",1,106.1012725,13.03899053,7,30,3,9,17.5,3.2,"Tanikawa, A., Chang, Y. H. & Tso, I. M. (2010). Taxonomic revision of Taiwanese and Japanese Cyrtophora spiders hitherto identified with C. moluccensis (Arachnida, Araneae), using molecular and morphological data. Acta Arachnologica 59(1): 31-38"
Cyrtophora_ikomosanensis,island,yes,yes,"Taiwan, Japan",0,3,452.6874425,408631.7423,3.689453,12.89462505,island,"Taiwan, Japan",1,121.7156942,24.96275115,2,2,1,2,,,
Cyrtophora_moluccensis,island_continent,yes,yes,"India, Japan, South Asia, China, Indonesia, Papua New Guinea, Australia, Solomon Is.,, Palau, Micronesia, Fiji, Tonga, French Polynesia",1036,283,5187293.146,26501107.44,52.228127,62.22112485,island_continent,"india,japan,south asia,china,indonesia,papua new guinea,australia,solomon is.,,palau,micronesia,fiji,tonga,french polynesia",1,132.9772961,-11.85875353,20,64,7,11,19.8,3.28,"Tanikawa, A., Chang, Y. H. & Tso, I. M. (2010). Taxonomic revision of Taiwanese and Japanese Cyrtophora spiders hitherto identified with C. moluccensis (Arachnida, Araneae), using molecular and morphological data. Acta Arachnologica 59(1): 31-38"
Deinopis_spinosa,NA,NA,NA,NA,105,NA,NA,,NA,,NA,NA,NA,-85.49221075,31.37663131,,,,,,,
Deliochus_160,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Dipoena_cf,NA,NA,NA,NA,2,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Dolophones_46,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Echinotheridion_otlum,continent,no,no,Ecuador,3,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Encyosaccus_sexmaculatus,continent,yes,yes,"Colombia, Ecuador, Peru, Brazil",0,11,276040.288,11150877.83,-7.292499,14.75062404,continent,"Colombia, Ecuador, Peru, Brazil",0,-73.77727098,-3.839652765,4,6,2,2,,,
Enoplognatha_bryjai,continent,no,no,Czechia,12,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Enoplognatha_caricis,island_continent,no,no,"Europe, China, Korea, Japan",555,76,4489527,36105504.39,11.27781,56.85398309,continent,"europe,china,korea,japan",1,-85.49221075,31.37663131,5,44,3,11,7.7,5,https://araneae.nmbe.ch/data/2049/Enoplognatha_caricis
Enoplognatha_latimana,island_continent,yes,yes,"Europe, North Africa, Turkey, Caucasus, Russia, Iran",1446,978,1822840.098,36011707.12,15.58204,67.45370285,island_continent,"europe,north africa,turkey,caucasus,russia,iran",1,9.034878073,49.83367786,10,20,6,12,6,5,https://araneae.nmbe.ch/data/681/Enoplognatha_latimana
Enoplognatha_margarita,island_continent,no,no,"Russia, South Siberia, China, Korea, Japan",53,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Enoplognatha_ovata,island_continent,yes,yes,"Europe, Russia, Kazakhstan, Iran, Central Asia Japan.,",17241,6684,7885264.033,30475728.17,27.019924,56.85398309,island_continent,"europe,russia,kazakhstan,iran,central asia japan.,",1,23.92272225,51.61561885,29,49,12,14,7.2,5,https://araneae.nmbe.ch/data/951/Enoplognatha_ovata
Episinus_affinis,island_continent,no,no,"India, Taiwan, Japan, Ryukyu Is.,",73,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Episinus_angulatus,island_continent,no,no,"Europe, Kazakhstan, Central Asia",2364,1201,5094067.82,30755666.14,24.687821,56.85398309,island_continent,"europe,kazakhstan,central asia",1,30.32370285,53.5125746,19,31,7,14,5.5,5.5,https://araneae.nmbe.ch/data/160/Episinus_angulatus
Episinus_nubilus,island,no,no,"Japan, Taiwan",115,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Eriophora_nephiloides,island_continent,yes,yes,"Central America, Colombia, Venezuela, Guyana",0,30,812155.3101,4732213.12,-23.589323,20.03007459,island_continent,"Central America, Colombia, Venezuela, Guyana",1,-84.47506566,10.52409705,13,24,3,12,,,
Eriophora_ravilla,island_continent,yes,yes,"USA, Central America, South America",1677,837,7517912.732,29777772.94,37.547685,98.68615651,island_continent,"usa,central america,south america",1,-73.40302676,9.416191078,52,145,8,16,24,13,"Levi, H. W. (1971b). The ravilla group of the orbweaver genus Eriophora in North America (Araneae: Araneidae). Psyche, Cambridge 77(3, 1970): 280-302."
Eriophora_sp,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Eriovixia_laglaizei,island_continent,no,no,"India, Bangladesh, China, Southeast Asia, New Guinea",209,77,3093005.516,17564941.23,31.036184,45.42229679,island_continent,"india,bangladesh,china,southeast asia,new guinea",1,105.9734939,11.8972586,17,64,4,13,8.5,NA,"Biswas, V. & Raychaudhuri, D. (2018). New species of the genus Eriovixia Archer, 1951 (Araneae: Araneidae) from Bangladesh. Bangladesh Journal of Zoology 46(1): 1-10"
Eriovixia_sp,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Euryopis_funebris,continent,no,no,USA,161,27,1929602.64,9462727.54,14.899984,41.07063035,continent,usa,0,-83.04822764,40.62549161,10,19,3,5,4.7,2.8,"Levi, H. W. (1954b). Spiders of the genus Euryopis from North and Central America (Araneae, Theridiidae). American Museum Novitates 1666: 1-48."
Eustala_117,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Eustala_anastera,island_continent,yes,yes,"North America, Central America",624,186,5593800.795,21875348.71,35.077202,52.05850925,island_continent,"north america,central america",1,-88.73409051,38.31367989,30,59,8,17,10,9.5,"Levi, H. W. (1977a). The American orb-weaver genera Cyclosa, Metazygia and Eustala north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 148: 61-127"
Eustala_cepina,continent,yes,yes,North America,139,6,1036736.412,21357404.83,13.275331,52.05850925,continent,north america,0,-90.74556304,34.60416476,5,17,2,2,7.9,4.3,"Levi, H. W. (1977a). The American orb-weaver genera Cyclosa, Metazygia and Eustala north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 148: 61-127."
Eustala_emertoni,continent,no,no,"USA, Mexico",126,1,0,11420054.47,0,41.07063035,continent,"usa,mexico",0,-81.863273,30.195343,1,1,1,1,7.6,5,"Levi, H. W. (1977a). The American orb-weaver genera Cyclosa, Metazygia and Eustala north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 148: 61-127."
Exalbidion_pallisterorum,continent,no,no,Mexico,2,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Exechocentrus_lancearius,NA,no,no,Madagascar,3,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Faiditus_chickeringi,continent,no,no,Panama,12,NA,NA,,NA,,NA,NA,0,NA,NA,,,,,,,
Gasteracantha_cancriformis,island_continent,yes,yes,"North America, Central America, Caribbean, South America",12956,7953,23120888.52,39715123.3,76.60355,109.6740354,island_continent,"north america,central america,caribbean,south america",1,-69.09161078,2.089057712,147,224,13,24,8.6,2.7,"Levi, H. W. (1978a). The American orb-weaver genera Colphepeira, Micrathena and Gasteracantha north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 148: 417-442"
Gasteracantha_diardi,island_continent,yes,yes,"India, China, Laos, Thailand, Malaysia, Indonesia",213,111,2203082.311,15490385.51,27.428709,45.42229679,island_continent,"india,china,laos,thailand,malaysia,indonesia",1,112.8710475,1.11610915,19,42,4,10,8,NA,"Tan, J., Chan, Z. J., Ong, C. A. & Yong, H. S. (2019a). Phylogenetic relationships of Actinacantha Simon, Gasteracantha Sundevall, Macracantha Hasselt and Thelacantha Simon spiny orbweavers (Araneae: Araneidae) in Peninsular Malaysia. Raffles Bulletin of Zoology 67: 32-55"
Gasteracantha_doriae,island_continent,yes,yes,"Thailand, Malaysia, Singapore, Indonesia",71,43,391274.4852,2736680.269,11.72281,23.94100463,island_continent,"thailand,malaysia,singapore,indonesia",1,NA,NA,5,22,3,7,8,,"Macharoenboon, K., Siriwut, W. & Jeratthitikul, E. (2021). A review of the taxonomy of spiny-backed orb-weaving spiders of the subfamily Gasteracanthinae (Araneae, Araneidae) in Thailand. ZooKeys"
Gasteracantha_falcicornis,island_continent,yes,yes,"Tanzania, Zambia, Malawi, South Africa, Eswatini ",0,371,574838.1223,3049692.476,-11.868796,-22.7336234,island_continent,"Tanzania, Zambia, Malawi, South Africa, Eswatini ",1,35.92777243,-13.01473921,9,20,6,10,6.3,,"Emerit, M. (1974). Arachnides araignées Araneidae Gasteracanthinae. Faune Madagascar 38: 1-215"
Gasteracantha_fornicata,island_continent,yes,yes,Australia ,0,13,242553.2921,7691990.893,-5.992652,39.01717104,island_continent,Australia ,1,143.6902352,-18.08223749,6,7,6,10,10,,https://www.arachne.org.au/01_cms/details.asp?ID=2375
Gasteracantha_kuhli,island_continent,yes,yes,"India, China, Southeast Asia, North Korea, Korea, South Asia, Japan, Philippines and Indonesia",1015,334,10279258.19,21083566.66,48.918141,48.97584522,island_continent,"india,china,southeast asia,north korea,korea,south asia,japan,philippines,indonesia",1,101.795767,21.84411565,43,120,7,22,8,4,"Tanikawa, A. (2007c). An identification guide to the Japanese spiders of the families Araneidae, Nephilidae and Tetragnathidae. Arachnological Society of Japan, 121 pp"
Gasteracantha_taeniata,island_continent,yes,yes,"India, Polynesia, New Guinea, Papua New Guinea, Solomon Is.",0,98,5006177.637,3938593.438,20.652036,79.37769928,island_continent,"India, Polynesia, New Guinea, Papua New Guinea, Solomon Is.",1,144.999864,-6.166784508,4,11,3,6,8.5,3,"Chrysanthus, P. (1959). Spiders from south New Guinea II. Nova Guinea N.S. 10: 197-206."
Gea_heptagon,island_continent,yes,yes,"Pacific Is.,, Australia, Introduced to USA to Argentina",843,425,4554491.421,19937874.28,18.723654,82.13386037,island_continent,"pacific is.,,australia,introduced,usa,argentina",1,-92.87073422,36.51876272,27,41,6,19,4.5,2.6,"Levi, H. W. (1968a). The spider genera Gea and Argiope in America (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 136: 319-352"
Gea_theridioides,island_continent,yes,yes,Australia,157,80,1850841.536,7691990.893,12.472082,39.01717104,island_continent,australia,1,141.6928182,-32.50224825,9,20,7,11,6,2.5,http://www.findaspider.org.au/find/spiders/132.htm
Gibbaranea_261,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Gibbaranea_bituberculata,island_continent,yes,yes,"North Africa, Europe, Turkey, Israel, Russia, Europe, Iran, Central Asia, South Asia, China, Japan, India",2814,1924,7874578.302,54790037.92,33.774549,71.49960093,island_continent,"north africa,europe,turkey,israel,russia,iran,central asia,south asia,china,japan,india",1,23.72283589,50.81815851,28,51,10,14,8.9,5.7,https://araneae.nmbe.ch/data/79/Gibbaranea_bituberculata
Gibbaranea_occidentalis,island,yes,yes,Azores,1848,1553,2395.573397,91643.57843,2.55811,0,island,azores,1,-25.50143625,37.81035055,1,1,4,4,8.5,5.5,"Wunderlich, J. (1992a). Die Spinnen-Fauna der Makaronesischen Inseln: Taxonomie, Ökologie, Biogeographie und Evolution. Beiträge zur Araneologie 1: 1-619. download pdf"
Gnolus_cordiformis,continent,no,no,"Chile, Argentina",38,21,124307.472,3517370.817,11.200673,-0.265388753,continent,"chile,argentina",0,-71.97378991,-37.15140846,2,2,6,13,5.29,4.5,"Nicolet, H. (1849). Aracnidos. In: Gay, C. (ed.) Historia física y política de Chile. Zoología 3, 319-543, pl. 1-5"
Helvibis_cf,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Herennia_multipuncta,island_continent,no,no,"India, South Asia, China, Vietnam, Borneo, Sulawesi",271,90,5404599.706,18276630.88,36.231571,45.42229679,island_continent,"india,south asia,china,vietnam,borneo,sulawesi",1,103.3389336,14.8558461,24,86,6,16,12.8,3.5,"Kuntner, M. (2005a). A revision of Herennia (Araneae: Nephilidae: Nephilinae), the Australasian 'coin spiders'. Invertebrate Systematics 19(5): 391-436."
Hingstepeira_folisecens,NA,no,no,"Colombia, Brazil, Guyana, Suriname, French Guiana",28,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Hortophora_transmarina,island_continent,yes,yes,"Papua New Guinea, Australia",0,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Hypognatha_224,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Hypsosinga_heri,island_continent,no,no,"Europe, Caucasus, Russia, Siberia, Israel, Iran, Central Asia, China",583,416,2976874.942,41750995.08,16.79324,56.85398309,island_continent,"europe,caucasus,russia,siberia,israel,iran,central asia,china",1,18.34604629,52.49080071,13,22,5,12,5.5,3.9,"Levy, G. (1984). The spider genera Singa and Hypsosinga (Araneae, Araneidae) in Israel. Zoologica Scripta 13(2): 121-133."
Hypsosinga_pygmaea,island_continent,NA,NA,"North America, Europe, Turkey, Israel, Caucasus, Russia, Iran, Central Asia, China, Korea, Japan, Vietnam, Turkey",2277,1396,19898783.01,64030277.87,38.934579,68.87868535,island_continent,"north america,europe,turkey,israel,caucasus,russia,iran,central asia,china,korea,japan,vietnam",1,-103.188396,51.39270568,28,103,9,18,4.2,2.8,"Levy, G. (1984). The spider genera Singa and Hypsosinga (Araneae, Araneidae) in Israel. Zoologica Scripta 13(2): 121-133."
Hypsosinga_sanguinea,island_continent,yes,yes,"Europe, North Africa, Turkey, Russia, Iran, Central Asia, China, Korea, Japan",1299,793,5685936.456,50594211.41,29.0343,67.45370285,island_continent,"europe,north africa,turkey,russia,iran,central asia,china,korea,japan",1,21.93677262,52.72901872,18,31,7,3,5.4,0.5,https://araneae.nmbe.ch/data/1150/Hypsosinga_sanguinea
Hyptiotes_cavatus,NA,NA,NA,NA,50,NA,NA,,NA,,NA,NA,NA,-83.35025154,39.18854323,,,,,,,
Isoxya_mahafalensis,island,no,no,Madagascar,5,2,0,592983.4955,0,0,island,madagascar,1,46.984537,-18.476809,1,1,1,1,5.5,3.3,"Emerit, M. (1974). Arachnides araignées Araneidae Gasteracanthinae. Faune Madagascar 38: 1-215"
Kaira_alba,continent,no,no,"USA, Mexico",30,6,359099.558,11420054.47,6.66056,41.07063035,continent,"usa,mexico",0,-89.7652172,30.44294217,4,10,2,3,7.2,2.9,"Levi, H. W. (1993c). The orb-weaver genus Kaira (Araneae: Araneidae). Journal of Arachnology 21(3): 209-225."
Kochiura_aulica,island_continent,no,no,"Cape Verde Is.,,Europe, Caucasus, Turkey, Iran",1843,NA,NA,,NA,,NA,NA,1,NA,NA,,,,,,,
Kochiura_rosea,continent,no,no,Chile,49,10,83200.16046,734214.965,10.019089,0,continent,chile,0,-71.90549975,-37.07534663,2,2,3,10,3.1,2.3,"Levi, H. W. (1963f). The American spiders of the genus Anelosimus (Araneae, Theridiidae). Transactions of the American Microscopical Society 82(1): 30-48."
Larinia_bonneti,island_continent,no,no,"France, Central Europe, Hungary, Caucasus, Russia, Europe, Japan",40,23,144777.8966,26511758.29,3.90475,56.85398309,continent,"france,central europe,hungary,caucasus,russia,europe,japan",1,2.014597256,45.53331244,4,5,2,6,6.07,3.73,https://araneae.nmbe.ch/data/3884/Larinia_bonneti
Larinia_borealis,continent,yes,yes,North America,89,37,1540046.324,21357404.83,20.652036,52.05850925,continent,north america,0,-101.5053351,42.24929331,14,43,6,18,8,5.4,"Levi, H. W. (1975b). The American orb-weaver genera Larinia, Cercidia and Mangora north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 147: 101-135."
Larinia_directa,island_continent,yes,yes,"USA, Central America, South America",307,53,10196987.31,29777772.94,67.828662,98.68615651,island_continent,"usa,central america,south america",1,-72.34364356,6.03402855,24,154,9,23,11.7,6.5,"Levi, H. W. (1975b). The American orb-weaver genera Larinia, Cercidia and Mangora north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 147: 101-135"
Lariniaria_argiopiformis,NA,no,no,"Russia, China, Korea, Japan",83,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Larinioides_cornutus,island_continent,no,no,"North America, Europe, Turkey, Israel, Caucasus, Russia, Europe, Iran, China, Korea, Japan",14949,3483,NA,59085046.12,44.167796,68.87868535,island_continent,"north america,europe,turkey,israel,caucasus,russia,iran,china,korea,japan",1,-72.34364356,6.03402855,84,NA,17,NA,20,10.4,https://araneae.nmbe.ch/data/461/Larinioides_cornutus
Lasaeola_prona,island_continent,no,no,"North America, Russia, Kazakhstan, Iran, Japan",204,1,0,43023770.79,0,55.78063288,continent,"north america,russia,kazakhstan,iran,japan",0,53.1441,57.0326,1,1,1,1,3,2.8,https://araneae.nmbe.ch/data/2129/Lasaeola_prona
Lasaeola_tristis,island_continent,no,no,"Europe, Kazakhstan, Iran, Central Asia, Russia (South Siberia)",812,367,4228215.092,32377803.05,25.5554,56.85398309,island_continent,"europe,kazakhstan,iran,central asia,russia",1,34.74433814,54.78719065,13,24,5,13,4,3.2,https://araneae.nmbe.ch/data/1283/Lasaeola_tristis
Latrodectus_cinctus,continent,yes,yes,"Cape Verde, Africa, Oman, Kuwait, Iran",0,5,737403.0341,31842721.96,22.848767,63.69610402,continent,"Cape Verde, Africa, Oman, Kuwait, Iran",0,29.05346348,20.29175419,2,22,3,3,,,
Latrodectus_geometricus,island_continent,no,no,Africa,6710,324,20619390.19,29892056.69,64.57137,63.69610402,island_continent,africa,1,18.14635908,2.548090209,27,89,11,19,13,6.2,https://araneae.nmbe.ch/data/2135/Latrodectus_geometricus
Latrodectus_mactans,island_continent,no,no,North America,4289,1565,6450790.001,21357404.83,28.70526,52.05850925,island_continent,north america,0,-95.90662596,32.2142002,57,82,14,23,11,4,"Levi, H. W. (1967c). Cosmopolitan and pantropical species of theridiid spiders (Araneae: Theridiidae). Pacific Insects 9: 175-186"
Latrodectus_renivulvatus,continent,yes,yes,"Africa, Iraq",59,14,1534523.746,30329423.85,14.110151,63.69610402,continent,"africa,iraq",0,24.82213541,-27.19943049,9,20,5,14,13.2,3.1,"Knoflach, B. & Harten, A. van (2002). The genus Latrodectus (Araneae: Theridiidae) from mainland Yemen, the Socotra Archipelago and adjacent countries. Fauna of Arabia 19: 321-361."
Leucauge_venusta,NA,NA,NA,NA,8172,NA,NA,,NA,,NA,NA,NA,-94.717788,38.9011284,,,,,,,
Leviana_dimidiatus,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Leviana_mulieraria,NA,no,no,Australia,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Macracantha_arcuata,island_continent,yes,yes,"India, Sri Lanka, China, Myanmar, Thailand, Cambodia, Indonesia",352,118,2552246.477,15844682.8,34.397813,45.42229679,island_continent,"india,sri lanka,china,myanmar,thailand,cambodia,indonesia",1,102.5993727,14.5158356,16,48,5,9,8.6,NA,"Tikader, B. K. (1982a). Part 1. Family Araneidae (= Argiopidae). Typical orb-weavers. In: The fauna of India. Spiders: Araneae. Vol. II. Zoological Survey of India, Calcutta, pp. 1-293"
Madacantha_nossibeana,NA,no,no,Madagascar,2,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Mangora_gibberosa,island_continent,no,no,North America,1137,452,5133578.754,21357404.83,23.56574,52.05850925,island_continent,north america,1,-89.4980808,38.93126877,33,44,9,13,3.2,4.8,"Levi, H. W. (1975b). The American orb-weaver genera Larinia, Cercidia and Mangora north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 147: 101-135"
Mastophora_apalachicola,NA,no,no,USA,3,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Mastophora_archeri,NA,no,no,USA,4,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Mastophora_bisaccata,continent,no,no,"USA, Mexico",32,15,1110079.12,11420054.47,12.900377,41.07063035,continent,"usa,mexico",0,-82.81108528,36.54376193,6,16,2,4,15.3,1.8,"Levi, H. W. (2003). The bolas spiders of the genus Mastophora (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 157(5): 309-382."
Mastophora_cornigera,continent,no,no,"USA, Central America",94,33,2490989.75,11937998.34,10.795242,41.07063035,continent,"usa,central america",0,-98.86722003,33.4115076,10,30,6,12,14,1.7,"Levi, H. W. (2003). The bolas spiders of the genus Mastophora (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 157(5): 309-382."
Mastophora_hutchinsoni,island_continent,no,no,"USA, Canada",38,18,602658.0007,19400077.9,7.430449,52.05850925,island_continent,"usa,canada",1,-79.19001732,41.34604606,5,13,3,4,10.4,1.7,"Levi, H. W. (2003). The bolas spiders of the genus Mastophora (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 157(5): 309-382."
Mastophora_phrynosoma,continent,no,no,USA,67,44,733435.1154,9462727.54,8.035792,41.07063035,continent,usa,0,-83.28551891,38.27314487,10,13,3,4,12.3,1.7,"Levi, H. W. (2003). The bolas spiders of the genus Mastophora (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 157(5): 309-382."
Mastophora_stowei,continent,no,no,USA,10,1,0,9462727.54,0,41.07063035,continent,usa,0,-77.932138,40.723415,1,1,1,1,10.5,1.7,"Levi, H. W. (2003). The bolas spiders of the genus Mastophora (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 157(5): 309-382."
Mecynogea_lemniscata,island_continent,no,no,"USA, Central America, South America",1343,823,19434927.19,29777772.94,80.131163,98.68615651,island_continent,"usa,central america,south america",1,-66.89943705,-2.35093679,40,194,9,18,8.6,6.6,"Levi, H. W. (1980a). The orb-weaver genus Mecynogea, the subfamily Metinae and the genera Pachygnatha, Glenognatha and Azilia of the subfamily Tetragnathinae north of Mexico (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 149: 1-74"
Meotipa_sp,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
