new_phylo,corrected_name
Mastophora_hutchinsoni,Mastophora_hutchinsoni
Mastophora_phrynosoma,Mastophora_phrynosoma
Mastophora_stowei_181,Mastophora_stowei
Mecynogea_lemniscata,Mecynogea_lemniscata
Meta_ovalis_178,Meta_ovalis
Metazygia_wittfeldae,Metazygia_wittfeldae
Metellina_segmentata,Metellina_segmentata
Metepeira_21,Metepeira_21
Mexitlia_trivittata,Mexitlia_trivittata
Micrathena_gracilis,Micrathena_gracilis
Micrathena_militaris,Micrathena_militaris
Micrathena_sagittata,Micrathena_sagittata
Mimetus_12,Mimetus_12
Neoscona_crucifera_274,Neoscona_crucifera
Neoscona_domiciliorum,Neoscona_domiciliorum
Neoscona_mellotteei,Neoscona_mellotteei
Neoscona_mukerjei,Neoscona_mukerjei
Neoscona_punctigera,Neoscona_punctigera
Neoscona_scylla,Neoscona_scylla
Neoscona_subfusca,Neoscona_subfusca
Neoscona_subpullata,Neoscona_subpullata
Neoscona_theisi,Neoscona_theisi
Nephila_clavipes,Trichonephila_clavipes
Nephila_inaurata,Trichonephila_inaurata
Nephila_senegalensis,Trichonephila_senegalensis
Nephilengys_malabarensis,Nephilengys_malabarensis
Neriene,Neriene
Novakiella_trituberculosa_209,Novakiella_trituberculosa
Nuctenea_umbratica,Nuctenea_umbratica
Ocrepeira_ectypa,Ocrepeira_ectypa
Paralarinia_199,Paralarinia_199
Paraplectana_tsushimensis_118,Paraplectana_tsushimensis
Paraplectanoides_crassipes_208,Paraplectanoides_crassipes
Parawixia_dehaani_216,Parawixia_dehaani
Parawixia_kochi_112,Parawixia_kochi
Parmatergus_116,Parmatergus_116
Pasilobus_122,Pasilobus_122
Perilla_teres,Perilla_teres
Phonognatha_graeffei,Phonognatha_graeffei
Phoroncidia_americana,Phoroncidia_americana
Pimoa_121,Pimoa_121
Plebs_bradleyi,Plebs_bradleyi
Poecilopachys_australasia_201,Poecilopachys_australasia
Poecilopachys_australasia_202,Poecilopachys_australasia
Poecilopachys_australasia_34,Poecilopachys_australasia
Poltys_illepidus,Poltys_illepidus
Poltys_laciniosus,Poltys_laciniosus
Pycnacantha_fuscosa_256,Pycnacantha_fuscosa
Rubrepeira_rubronigra,Rubrepeira_rubronigra
Scoloderus_cordatus,Scoloderus_cordatus
Singa_nitidula_240,Singa_nitidula
Spilasma_duodecimguttata_107,Spilasma_duodecimguttata
Spintharus_flavidus,Spintharus_flavidus
Synotaxus_225,Synotaxus_225
Telaprocera_joanae_205,Telaprocera_joanae
Telaprocera_maudae_170,Telaprocera_maudae
Testudinaria_109,Testudinaria_109
Tetragnatha_versicolor,Tetragnatha_versicolor
Thelacantha_brevispina,Thelacantha_brevispina
Uloborus_diversus,Uloborus_diversus
Verrucosa_arenata_272,Verrucosa_arenata
Wagneriana_atuna,Wagneriana_atuna
Wagneriana_tauricornis,Wagneriana_tauricornis
Waitkera_waitakerensis,Waitkera_waitakerensis
Witica_cayanus,Witica_cayanus
Witica_crassicaudus,Witica_crassicauda
Zealaranea_crassa_213,Zealaranea_crassa
Zygiella_atrica,Zygiella_atrica
Zygiella_x-notata,Zygiella_x-notata
Zygiella_xnotata_252,Zygiella_x-notata
