species,cat_island,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,area_country_pointsCountry,wsc
Neospintharus_trigonum,island_continent,no,"USA, Canada",819,125,3390300.343,19400077.9,18.715502,52.05850925,island_continent,5228558.115,"usa,canada"
Neottiura_bimaculata,island_continent,no,"North America, Russia, Kazakhstan, Iran, Central Asia, China, Japan, Spain, France, Italy",6404,1369,NA,55744468.56,22.243658,55.78063288,island_continent,14949723.81,"north america,russia,kazakhstan,iran,central asia,china,japan,spain,france,italy"
Nephilengys_malabarensis,island_continent,no,"India, China, South Asia, Southeast Asia, Philippines, Indonesia, Japan",376,148,3002301.034,20863012.59,27.825253,45.45150832,island_continent,14546848.93,"india,china,south asia,southeast asia,philippines,indonesia,japan"
Neriene,NA,NA,NA,0,,,,,,,,
Nesticodes_rufipes,island_continent,no,Central and South America,1302,489,17943581.04,25624625.68,64.979085,84.04525912,island_continent,9496984.909,"central,south america"
Novakiella_trituberculosa,island_continent,no,"Australia, New Zealand",111,33,983217.1974,7959749.401,14.851715,57.43007084,island_continent,3874550.77,"australia,new zealand"
Nuctenea_umbratica,island_continent,no,"Europe, Azerbaijan, Iran",12998,9842,6687827.87,27761519.28,31.751264,82.10629988,island_continent,16514683.55,"europe,azerbaijan,iran"
Ocrepeira_ectypa,continent,no,USA,21,2,0,9462727.54,5.253968,41.07063035,continent,333003.3213,usa
Ohlertidion_ohlerti,continent,no,North America,842,25,321338.4309,21357404.83,8.53148,52.05850925,continent,1507386.31,north america
Paidiscura_pallens,island_continent,yes,"Europe, Georgia, Russia, South Siberia",5167,2874,2797369.058,26139382.37,29.481408,82.10629988,island_continent,14612073.47,"europe,georgia,russia,south siberia"
Paralarinia_199,NA,NA,NA,0,,,,,,,,
Paraplectana_tsushimensis,island_continent,no,"China, Taiwan, Japan",21,4,5768.419071,9781823.774,2.256998,14.5109033,island_continent,208645.7593,"china,taiwan,japan"
Paraplectanoides_crassipes,island_continent,no,Australia,30,5,1827739.647,7691990.893,17.4624,39.01717104,island_continent,4324855.887,australia
Parasteatoda_tabulata,continent,no,Tropical Asia,573,1,0,30166673.63,0,56.95997934,continent,102787.8731,tropical asia
Parawixia_dehaani,island_continent,NA,"India, Southeast Asia, Philippines, Indonesia, New Guinea",388,94,3056131.082,8054540.977,28.712401,44.19518295,island_continent,1360413.059,"india,southeast asia,philippines,indonesia,new guinea"
Parawixia_kochi,NA,NA,"Trinidad and Tobago, Brazil, Guyana, French Guiana",143,,,,,,,,
Parmatergus_116,NA,NA,NA,0,,,,,,,,
Pasilobus_122,NA,NA,NA,0,,,,,,,,
Perilla_teres,NA,no,"Myanmar, Vietnam, Malaysia",10,,,,,,,,
Pholcomma_hirsutum,continent,no,USA,181,2,0,9462727.54,2.636063,41.07063035,continent,179988.1286,usa
Phonognatha_graeffei,island_continent,no,Australia,1373,564,4008211.329,7691990.893,25.857526,39.01717104,island_continent,19096045.05,australia
Phoroncidia_americana,continent,no,"USA, Jamaica",82,7,37317.85197,9473753.601,5.96277,41.07063035,continent,118445.0738,"usa,jamaica"
Phoroncidia_sp,NA,NA,NA,0,,,,,,,,
Phycosoma_mustelinum,island_continent,no,"Russia, Japan, Indonesia",794,,,,,,,,
Phylloneta_impressa,island_continent,no,"North America, Russia, Europe, Kazakhstan, Iran, Central Asia, China, India",3862,2244,7188892.171,66261359.17,26.71043,82.10629988,island_continent,17176178.87,"north america,russia,europe,kazakhstan,iran,central asia,china,india"
Phylloneta_pictipes,island_continent,no,USA,74,32,286782.6038,9462727.54,4.916605,41.07063035,island_continent,740097.3102,usa
Pimoa_121,NA,NA,NA,0,,,,,,,,
Platnickina_alabamensis,continent,no,USA,15,1,0,9462727.54,0,41.07063035,continent,225335.5434,usa
Platnickina_mneon,continent,no,South America,74,7,577137.6519,20315045.4,18.829216,84.04525912,continent,477010.5462,south america
Platnickina_punctosparsa,continent,no,USA,5,1,0,9462727.54,0,41.07063035,continent,21023.32808,usa
Plebs_bradleyi,island_continent,yes,"Australia, Tasmania",967,423,495754.3637,8512450.039,14.63546,59.16989275,island_continent,14839274.98,"australia,tasmania"
Plebs_cyphoxis,continent,NA,Australia,446,49,256890.2067,7691990.893,5.228444,39.01717104,continent,16267117.15,australia
Poecilopachys_australasia,continent,no,Australia,718,179,1171554.229,7691990.893,21.55674,39.01717104,continent,2758348.538,australia
Poltys_illepidus,continent,no,"Thailand, Southeast Asia, Australia",209,58,1495553.42,12128687.12,11.71667,46.78898399,continent,5604899.034,"thailand,southeast asia,australia"
Poltys_laciniosus,continent,no,Australia,174,114,5852128.574,7691990.893,23.538052,39.01717104,continent,7617453.926,australia
Pycnacantha_fuscosa,NA,no,Madagascar,2,,,,,,,,
Quokkaraneus_necopinus,NA,no,Australia,3,,,,,,,,
Rhomphaea_metaltissima,continent,no,"Panama, Colombia, Brazil",12,2,0,9679258.871,0,19.35822206,continent,277624.2408,"panama,colombia,brazil"
Robertus_lividus,island_continent,no,"USA, Russia, Europe, Iran",10493,3739,5905030.938,37224246.82,28.678485,82.10629988,island_continent,16127053.82,"usa,russia,europe,iran"
Robertus_neglectus,island_continent,no,Europe,942,499,4005708.383,26139382.37,26.243638,82.10629988,island_continent,13952874.4,europe
Rubrepeira_rubronigra,continent,yes,"Central America, South America",28,10,35526.8625,20315045.4,3.234712,84.04525912,continent,115997.9904,"central america,south america"
Rugathodes_aurantius,continent,no,North America,751,31,79041.33218,21357404.83,6.05033,52.05850925,continent,1507386.31,north america
Rugathodes_sexpunctatus,island_continent,no,USA,1570,398,NA,9462727.54,18.142738,41.07063035,island_continent,1615747.238,usa
Rugathodes_sp,NA,NA,NA,0,,,,,,,,
Salsa_recherchensis,continent,no,Australia,39,5,62350.26194,7691990.893,2.792758,39.01717104,continent,2526727.456,australia
Sardinidion_blackwalli,island_continent,no,Europe,593,328,1967530.188,26139382.37,22.229249,82.10629988,island_continent,1174376.92,europe
Scoloderus_cordatus,continent,no,"Mexico, central america,South America,",68,2,0,1957326.927,0,0,continent,76134.74809,"mexico,central america,south america,"
Selkirkiella_alboguttata,island_continent,yes,Chile,0,,,,,,,,
Selkirkiella_luisi,island_continent,yes,Chile,0,,,,,,,,
Singa_nitidula,continent,no,"Europe, Turkey, Russia, Europe, Caucasus to Central Asia",633,410,6099369.671,30755715.4,21.245102,82.10629988,continent,14738833.52,"europe,turkey,russia,caucasus,central asia"
Socca_pustulosa,island_continent,yes,"Australia, New Zealand",491,41,605887.8685,7959749.401,10.638503,57.43007084,island_continent,16381821.26,"australia,new zealand"
Socca_senicaudatus,NA,NA,NA,0,,,,,,,,
Spilasma_duodecimguttata,continent,yes,"Central America, South America",85,7,2862376.861,20315045.4,18.77393,84.04525912,continent,3204797.821,"central america,south america"
Spintharus_flavidus,island_continent,no,USA,303,97,1244027.9,9462727.54,16.831174,41.07063035,island_continent,1439637.095,usa
Steatoda_bipunctata,island_continent,no,"Europe, Israel, Caucasus, Russia, Kazakhstan, Iran, Central, Asia, China.,",6728,4043,9826197.872,61615636.29,28.627585,83.56332948,island_continent,18197570.14,"europe,israel,caucasus,russia,kazakhstan,iran,central,asia,china.,"
Steatoda_borealis,island_continent,no,USA,889,252,11087822.2,9462727.54,32.264955,41.07063035,island_continent,4781296.897,usa
Steatoda_castanea,island_continent,no,"Europe, Caucasus, Iran, Central Asia, China",595,336,7009046.644,41751044.33,20.735181,82.10629988,island_continent,2391474.57,"europe,caucasus,iran,central asia,china"
Steatoda_cingulata,island_continent,no,"China, Vietnam, Laos, Japan, Indonesia",142,6,622182.906,12196470.66,37.149939,45.45150832,island_continent,163988.0677,"china,vietnam,laos,japan,indonesia"
Steatoda_triangulosa,island_continent,no,"Europe, Russia, Kazakhstan, Iran, Central Asia., Libya",6461,1966,6780934.729,32099516.17,30.490187,82.10629988,island_continent,15331104.15,"europe,russia,kazakhstan,iran,central asia.,libya"
Stemmops_cf,NA,NA,NA,0,,,,,,,,
Stemmops_nipponicus,island_continent,no,"Russia, Japan",349,,,,,,,,
Styposis_selis,continent,no,Brazil,63,1,0,8470788.47,0,0,continent,199159.1968,brazil
Synotaxus_225,NA,NA,NA,0,,,,,,,,
Takayus_latifolius,island_continent,no,"Russia, Japan",23,,,,,,,,
Takayus_quadrimaculatus,continent,no,China,25,,,,,,,,
Takayus_takayensis,continent,no,China,107,,,,,,,,
Telaprocera_joanae,continent,no,Australia,67,6,307.283604,7691990.893,0.897036,39.01717104,continent,1729974.818,australia
Telaprocera_maudae,continent,no,Australia,165,39,222991.1744,7691990.893,14.54016,39.01717104,continent,2530852.75,australia
Testudinaria_109,NA,NA,NA,0,,,,,,,,
Tetragnatha_versicolor,NA,NA,NA,1608,,,,,,,,
Thelacantha_brevispina,island_continent,yes,"Madagascar, Mauritius, Pakistan to Japan and New Guinea, Australia, Fiji, French Polynesia, Hawaii",751,139,492830.5572,19482210.99,43.899692,72.524891,island_continent,14505676.39,"madagascar,mauritius,pakistan,japan,new guinea,australia,fiji,french polynesia,hawaii"
Theridiinae_sp,NA,NA,NA,0,,,,,,,,
Theridiinae_sp_2,NA,NA,NA,0,,,,,,,,
Theridiinae_sp_2,NA,NA,NA,0,,,,,,,,
Theridion_acutitarse,island,no,USA (Hawaii),14,,,,,,,,
Theridion_albidum,continent,no,USA,248,5,2081316.334,9462727.54,12.638171,41.07063035,continent,763695.8031,usa
Theridion_calcynatum,continent,no,south america,42,20,60792.29507,20315045.4,4.348507,84.04525912,continent,316335.7511,south america
Theridion_californicum,continent,yes,USA,96,3,17010.65716,9462727.54,9.034582,41.07063035,continent,584494.3555,usa
Theridion_cf,NA,NA,NA,4,,,,,,,,
Theridion_differens,continent,yes,USA,582,15,3040092.206,9462727.54,11.129879,41.07063035,continent,1532860.548,usa
Theridion_flavonotatum,continent,no,USA,23,3,117475.6518,9462727.54,5.201982,41.07063035,continent,894164.2308,usa
Theridion_frondeum,continent,yes,USA,710,32,2367612.216,9462727.54,18.332987,41.07063035,continent,1422096.942,usa
Theridion_glaucescens,continent,no,USA,187,7,794259.456,9462727.54,7.188928,41.07063035,continent,823358.6098,usa
Theridion_grallator,island,yes,USA (Hawaii),74,21,5670.300399,9462727.54,2.171191,41.07063035,island,16724.29052,usa
Theridion_kauaiense,island,no,USA (Hawaii),3,,,,,,,,
Theridion_longipedatum,continent,no,Colombia,3,,,,,,,,
Theridion_melanostictum,island_continent,NA,"Macaronesia, Mediterranean, Egypt, India, Central Asia, China, Japan.,",501,106,9246788.916,25925348.87,64.12227,30.25063295,island_continent,12961239.95,"macaronesia,mediterranean,egypt,india,central asia,china,japan.,"
Theridion_melanurum,island,yes,"Macaronesia, Turkey, Caucasus, Russia, (Europe to Middle Siberia), Middle East.,",1106,28,2083.482581,18522184.32,2.5287,22.67193325,island,2322.884818,"macaronesia,turkey,caucasus,russia,,middle siberia),middle east.,"
Theridion_murarium,continent,no,North America,509,45,3357368.979,21357404.83,15.553062,52.05850925,continent,3222779.823,north america
Theridion_nigroannulatum,continent,no,Ecuador,4,,,,,,,,
Theridion_pennsylvanicum,continent,no,USA,18,,,,,,,,
Theridion_pictum,continent,no,"North America, Caucasus Russia, Kazakhstan, Turkemenistan, China, Japan",1985,24,5322095.335,34288114.95,23.608058,52.05850925,continent,4106089.946,"north america,caucasus russia,kazakhstan,turkemenistan,china,japan"
Theridion_pinastri,island_continent,no,"Europe, China, Korea, Japan",1017,414,4624944.055,36105553.64,20.7711,82.10629988,island_continent,14252066,"europe,china,korea,japan"
Theridion_posticatum,island,yes,USA (Hawaii),2,,,,,,,,
Theridion_sangzhiense,continent,no,China,1,,,,,,,,
Theridion_sp,NA,NA,NA,0,,,,,,,,
Theridion_theridioides,continent,no,China,61,,,,,,,,
Theridion_varians,island_continent,yes,"Europe, Caucasus Russia, Kazakhstan, Iran, Central Asia China., Libya, Western Mediterranean",5111,2435,7270168.074,35156234.34,32.137198,82.10629988,island_continent,16055830.16,"europe,caucasus russia,kazakhstan,iran,central asia china.,libya,western mediterranean"
Theridula_emertoni,continent,no,USA,277,13,772550.3866,9462727.54,9.489428,41.07063035,continent,703829.2903,usa
Theridula_opulenta,continent,no,North America,62,10,821241.5737,21357404.83,8.350547,52.05850925,continent,609281.3823,north america
Thymoites_unimaculatus,continent,no,USA,287,14,691495.1976,9462727.54,7.54193,41.07063035,continent,725782.1922,usa
Tidarren_sisyphoides,continent,no,"north america, central america, south america",228,28,9168174.435,39715123.3,72.054333,109.6740354,continent,1976174.145,"north america,central america,south america"
Trichonephila_clavipes,island_continent,no,"USA, Central America, South America, Caribbean",12744,7887,19023627.92,29777772.94,75.051873,98.68615651,island_continent,28680688.8,"usa,central america,south america,caribbean"
Trichonephila_inaurata,island_continent,no,"South Africa, Mauritius, Reunion, Seychelles",557,62,1248014.79,1222269.046,29.674798,24.3472146,island_continent,700157.3653,"south africa,mauritius,reunion,seychelles"
Trichonephila_senegalensis,island_continent,no,"West Africa, Central Africa, Ethiopia",323,11,2898.179985,12470319.46,3.748382,23.13585114,island_continent,96037.93418,"west africa,central africa,ethiopia"
Uloborus_diversus,NA,NA,NA,304,,,,,,,,
Verrucosa_arenata,island_continent,yes,"USA, Central America, Greater Antilles",3823,2462,4973282.314,12143276.56,35.116428,41.07063035,island_continent,5232938.11,"usa,central america,greater antilles"
Wagneriana_atuna,NA,yes,"Cuba, Costa Rica, Panama, Colombia, Ecuador, Peru, Bolivia, Paraguay",53,,,,,,,,
Wagneriana_tauricornis,continent,no,"USA, Central America, South America",110,41,4413806.326,29777772.94,60.32385,98.68615651,continent,1225808.829,"usa,central america,south america"
Waitkera_waitakerensis,NA,NA,NA,23,,,,,,,,
Wamba_crispulus,continent,no,"north america, central america, south america",187,12,8731170.118,39715123.3,78.462929,109.6740354,continent,1114929.917,"north america,central america,south america"
Witica_cayanus,island_continent,yes,"Colombia, Venezuela, Trinidad and Tobago, French Guiana, Ecuador, Peru, Brazil",33,,,,,,,,
Witica_crassicauda,island_continent,yes,"Mexico, Central America, South America",52,14,661300.1857,20315045.4,20.332292,84.04525912,island_continent,86544.13076,"mexico,central america,south america"
Yunohamella_lyricus,NA,NA,NA,0,,,,,,,,
Yunohamella_palmgreni,continent,no,"Finland, Poland, Estonia, Russia",80,22,104674.0644,17649817.35,9.132455,18.53135836,continent,196402.0124,"finland,poland,estonia,russia"
Zealaranea_crassa,island,yes,New Zealand,89,35,153546.5614,267758.5077,9.577506,0,island,12961981.77,new zealand
Zygiella_atrica,island_continent,no,Europe,1533,922,3519688.196,26139382.37,26.115124,82.10629988,island_continent,14262942.21,europe
Zygiella_x-notata,island_continent,yes,"Europe, Turkey, Caucasus, Iran",7879,5560,4600185.012,27761519.28,33.715035,82.10629988,island_continent,14758667.27,"europe,turkey,caucasus,iran"
