species,cat_island,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,area_country_pointsCountry,wsc
Araneus_talipedatus,island_continent,yes,Australia,335,176,3230373.598,7691990.893,18.276146,39.01717104,island_continent,6339768.726,australia
Araneus_ventricosus,island_continent,no,"Russia, Korea, Japan, China, Taiwan",964,104,2850040.523,26959923.57,22.438222,39.52467199,island_continent,2765138.932,"russia,korea,japan,china,taiwan"
Araniella_cucurbitina,island_continent,no,"Europe, Turkey, Russia (Europe) to Central Asia, China, Korea",6832,4797,7500501.948,40349461.5,31.859034,82.10629988,island_continent,16372361.91,"europe,turkey,russia,central asia,china,korea"
Araniella_displicata,island_continent,yes,"North America, Europe, Russia, Europe, Kazakhstan, China, Korea, Japan",2995,1144,10270639.39,60177216.62,38.124742,82.10629988,island_continent,27985553.9,"north america,europe,russia,kazakhstan,china,korea,japan"
Aranoethra_cambridgei,continent,no,"West, Central Africa",19,1,0,5309580.286,0,18.21253469,continent,57694.74889,"west,central africa"
Argiope_aetherea,island_continent,yes,China to Australia,466,146,2266154.15,17065182.92,18.875103,62.19191331,island_continent,19161985.49,"china,australia"
Argiope_appensa,island,yes,"Taiwan, New Guinea, Southeast Asia",1071,97,1229274.621,4937837.545,23.499347,32.55688327,island,476356.6322,"taiwan,new guinea,southeast asia"
Argiope_argentata,island_continent,yes,"USA, Central America, South America",9405,5656,21032643.28,29777772.94,82.458813,98.68615651,island_continent,31397107.61,"usa,central america,south america"
Argiope_aurantia,island_continent,no,"North America, Central America",25004,4814,10603822.88,21875348.71,34.643567,52.05850925,island_continent,24313317.33,"north america,central america"
Argiope_hoiseni,NA,yes,Malaysia,12,,,,,,,,
Argiope_ocyaloides,continent,yes,Australia,145,66,1512382.132,7691990.893,16.359192,39.01717104,continent,6405776.967,australia
Argiope_protensa,island_continent,yes,"New Guinea, Australia, New Caledonia, New Zealand",940,300,7517647.934,8443629.015,32.221761,57.43007084,island_continent,20607234.97,"new guinea,australia,new caledonia,new zealand"
Argiope_trifasciata,island_continent,NA,"North America, Central America, South America",9097,4692,29295820.04,39715123.3,95.856476,109.6740354,island_continent,33789974.41,"north america,central america,south america"
Argyrodes_argentatus,continent,no,India,24,,,,,,,,
Argyrodes_flavescens,continent,no,India,137,,,,,,,,
Ariamnes_attenuatus,island,no,Costa Rica,62,,,,,,,,
