species,cat_island,polymorphism,WSC_ISO3
Cyclosa_walckenaeri,island_continent,no,"USA, Central America, Colombia, Venezuela, Guyana, Ecuador, Caribbean"
Cyrtarachne_bufo,island_continent,no,"China, Korea, Japan"
Cyrtarachne_inaequalis,continent,no,"India, China, Korea, Myanmar"
Cyrtarachne_nagasakiensis,island_continent,yes,"Pakistan, India, China, Korea, Japan"
Cyrtarachne_yunoharuensis,continent,yes,"China, Korea, Japan"
Cyrtophora_cylindroides,island_continent,NA,"China, Southeast Asia, Australia"
Cyrtophora_moluccensis,island_continent,yes,"India, Japan, South Asia, China, Indonesia, Papua New Guinea, Australia, Solomon Is.,, Palau, Micronesia, Fiji, Tonga, French Polynesia"
Deinopis_spinosa,NA,NA,NA
Deliochus_160,NA,NA,NA
Dipoena_cf,NA,NA,NA
Dolophones_46,NA,NA,NA
Echinotheridion_otlum,continent,no,Ecuador
Enoplognatha_bryjai,continent,no,Czechia
Enoplognatha_caricis,island_continent,no,"Europe, China, Korea, Japan"
Enoplognatha_latimana,island_continent,yes,"Europe, North Africa, Turkey, Caucasus, Russia, Iran"
Enoplognatha_margarita,island_continent,no,"Russia, South Siberia, China, Korea, Japan"
Enoplognatha_ovata,island_continent,yes,"Europe, Russia, Kazakhstan, Iran, Central Asia Japan.,"
Episinus_affinis,island_continent,no,"India, Taiwan, Japan, Ryukyu Is.,"
Episinus_angulatus,island_continent,no,"Europe, Kazakhstan, Central Asia"
Episinus_nubilus,island,no,"Japan, Taiwan"
Eriophora_ravilla,island_continent,yes,"USA, Central America, South America"
Eriophora_sp,NA,NA,NA
Eriovixia_laglaizei,island_continent,no,"India, Bangladesh, China, Southeast Asia, New Guinea"
Eriovixia_sp,NA,NA,NA
Euryopis_funebris,continent,no,USA
Eustala_117,NA,NA,NA
Eustala_anastera,island_continent,yes,"North America, Central America"
Eustala_cepina,continent,yes,North America
Eustala_emertoni,continent,no,"USA, Mexico"
Exalbidion_pallisterorum,continent,no,Mexico
Exechocentrus_lancearius,NA,no,Madagascar
Faiditus_chickeringi,continent,no,Panama
Gasteracantha_cancriformis,island_continent,yes,"North America, Central America, Caribbean, South America"
Gasteracantha_diardi,island_continent,yes,"India, China, Laos, Thailand, Malaysia, Indonesia"
Gasteracantha_doriae,island_continent,yes,"Thailand, Malaysia, Singapore, Indonesia"
Gasteracantha_kuhli,island_continent,yes,"India, China, Southeast Asia, North Korea, Korea, South Asia, Japan, Philippines and Indonesia"
Gea_heptagon,island_continent,yes,"Pacific Is.,, Australia, Introduced to USA to Argentina"
Gea_theridioides,island_continent,yes,Australia
Gibbaranea_261,NA,NA,NA
Gibbaranea_bituberculata,island_continent,yes,"North Africa, Europe, Turkey, Israel, Russia, Europe, Iran, Central Asia, South Asia, China, Japan, India"
Gibbaranea_occidentalis,island,yes,Azores
Gnolus_cordiformis,continent,no,"Chile, Argentina"
Helvibis_cf,NA,NA,NA
Herennia_multipuncta,island_continent,no,"India, South Asia, China, Vietnam, Borneo, Sulawesi"
Hingstepeira_folisecens,NA,no,"Colombia, Brazil, Guyana, Suriname, French Guiana"
Hortophora_transmarina,island_continent,yes,"Papua New Guinea, Australia"
Hypognatha_224,NA,NA,NA
Hypsosinga_heri,island_continent,no,"Europe, Caucasus, Russia, Siberia, Israel, Iran, Central Asia, China"
Hypsosinga_pygmaea,island_continent,NA,"North America, Europe, Turkey, Israel, Caucasus, Russia, Iran, Central Asia, China, Korea, Japan, Vietnam, Turkey"
Hypsosinga_sanguinea,island_continent,yes,"Europe, North Africa, Turkey, Russia, Iran, Central Asia, China, Korea, Japan"
Hyptiotes_cavatus,NA,NA,NA
Isoxya_mahafalensis,island,no,Madagascar
Kaira_alba,continent,no,"USA, Mexico"
Kochiura_aulica,island_continent,no,"Cape Verde Is.,,Europe, Caucasus, Turkey, Iran"
Kochiura_rosea,continent,no,Chile
Larinia_bonneti,island_continent,no,"France, Central Europe, Hungary, Caucasus, Russia, Europe, Japan"
Larinia_borealis,continent,yes,North America
Larinia_directa,island_continent,yes,"USA, Central America, South America"
Lariniaria_argiopiformis,NA,no,"Russia, China, Korea, Japan"
Larinioides_cornutus,island_continent,no,"North America, Europe, Turkey, Israel, Caucasus, Russia, Europe, Iran, China, Korea, Japan"
Lasaeola_prona,continent,no,"North America, Russia, Kazakhstan, Iran, Japan"
